Age Group,Sex (CH),Sex,Year,Admissions
25 - 29,男,M,2017,1097.0
30 - 34,女,F,2017,513.0
30 - 34,男,M,2017,982.0
35 - 39,女,F,2017,503.0
35 - 39,男,M,2017,1079.0
40 - 44,女,F,2017,480.0
40 - 44,男,M,2017,1129.0
45 - 49,女,F,2017,433.0
45 - 49,男,M,2017,937.0
50 - 54,女,F,2017,299.0
50 - 54,男,M,2017,703.0
55 - 59,女,F,2017,175.0
55 - 59,男,M,2017,502.0
≧ 60,女,F,2017,224.0
≧ 60,男,M,2017,680.0
14 - 17,女,F,2018,7.0
14 - 17,男,M,2018,57.0
18 - 20,女,F,2018,43.0
18 - 20,男,M,2018,169.0
21 - 24,女,F,2018,183.0
21 - 24,男,M,2018,490.0
25 - 29,女,F,2018,414.0
25 - 29,男,M,2018,918.0
30 - 34,女,F,2018,542.0
30 - 34,男,M,2018,896.0
35 - 39,女,F,2018,495.0
35 - 39,男,M,2018,983.0
40 - 44,女,F,2018,415.0
40 - 44,男,M,2018,988.0
45 - 49,女,F,2018,410.0
45 - 49,男,M,2018,815.0
50 - 54,女,F,2018,253.0
50 - 54,男,M,2018,663.0
55 - 59,女,F,2018,206.0
55 - 59,男,M,2018,533.0
≧ 60,女,F,2018,191.0
≧ 60,男,M,2018,741.0
14 - 17,女,F,2019,5.0
14 - 17,男,M,2019,63.0
18 - 20,女,F,2019,29.0
18 - 20,男,M,2019,138.0
21 - 24,女,F,2019,121.0
21 - 24,男,M,2019,419.0
25 - 29,女,F,2019,280.0
25 - 29,男,M,2019,716.0
30 - 34,女,F,2019,404.0
30 - 34,男,M,2019,838.0
35 - 39,女,F,2019,409.0
35 - 39,男,M,2019,840.0
40 - 44,女,F,2019,393.0
40 - 44,男,M,2019,785.0
45 - 49,女,F,2019,404.0
45 - 49,男,M,2019,751.0
50 - 54,女,F,2019,257.0
50 - 54,男,M,2019,536.0
55 - 59,女,F,2019,203.0
55 - 59,男,M,2019,397.0
≧ 60,女,F,2019,194.0
≧ 60,男,M,2019,651.0
14 - 17,女,F,2020,11.0
14 - 17,男,M,2020,75.0
18 - 20,女,F,2020,12.0
18 - 20,男,M,2020,114.0
21 - 24,女,F,2020,86.0
21 - 24,男,M,2020,309.0
25 - 29,女,F,2020,178.0
25 - 29,男,M,2020,534.0
30 - 34,女,F,2020,268.0
30 - 34,男,M,2020,668.0
35 - 39,女,F,2020,251.0
35 - 39,男,M,2020,602.0
40 - 44,女,F,2020,274.0
40 - 44,男,M,2020,684.0
45 - 49,女,F,2020,273.0
45 - 49,男,M,2020,590.0
50 - 54,女,F,2020,202.0
50 - 54,男,M,2020,416.0
55 - 59,女,F,2020,134.0
55 - 59,男,M,2020,364.0
≧ 60,女,F,2020,126.0
≧ 60,男,M,2020,423.0
14 - 17,女,F,2021,16.0
14 - 17,男,M,2021,178.0
18 - 20,女,F,2021,27.0
18 - 20,男,M,2021,230.0
21 - 24,女,F,2021,80.0
21 - 24,男,M,2021,462.0
25 - 29,女,F,2021,209.0
25 - 29,男,M,2021,750.0
30 - 34,女,F,2021,329.0
30 - 34,男,M,2021,811.0
35 - 39,女,F,2021,311.0
35 - 39,男,M,2021,746.0
40 - 44,女,F,2021,324.0
40 - 44,男,M,2021,829.0
45 - 49,女,F,2021,290.0
45 - 49,男,M,2021,775.0
50 - 54,女,F,2021,223.0
50 - 54,男,M,2021,513.0
55 - 59,女,F,2021,137.0
55 - 59,男,M,2021,436.0
≧ 60,女,F,2021,163.0
≧ 60,男,M,2021,595.0
14 - 17,女,F,2022,21.0
14 - 17,男,M,2022,131.0
18 - 20,女,F,2022,29.0
18 - 20,男,M,2022,171.0
21 - 24,女,F,2022,87.0
21 - 24,男,M,2022,411.0
25 - 29,女,F,2022,196.0
25 - 29,男,M,2022,685.0
30 - 34,女,F,2022,247.0
30 - 34,男,M,2022,693.0
35 - 39,女,F,2022,282.0
35 - 39,男,M,2022,629.0
40 - 44,女,F,2022,263.0
40 - 44,男,M,2022,661.0
45 - 49,女,F,2022,254.0
45 - 49,男,M,2022,624.0
50 - 54,女,F,2022,217.0
50 - 54,男,M,2022,445.0
55 - 59,女,F,2022,136.0
55 - 59,男,M,2022,343.0
≧ 60,女,F,2022,161.0
≧ 60,男,M,2022,523.0
14 - 17,女,F,2023,19.0
14 - 17,男,M,2023,104.0
18 - 20,女,F,2023,41.0
18 - 20,男,M,2023,204.0
21 - 24,女,F,2023,121.0
21 - 24,男,M,2023,483.0
25 - 29,女,F,2023,293.0
25 - 29,男,M,2023,828.0
30 - 34,女,F,2023,426.0
30 - 34,男,M,2023,857.0
35 - 39,女,F,2023,501.0
35 - 39,男,M,2023,840.0
40 - 44,女,F,2023,439.0
